"klettern";"to climb

- Sherlock Groans climbs up a tree."
"hüpfen";"to jump

- A bird jumps on Sherlock Groans’ head."
"verlassen, weggehen";"to leave

- Doctor Grey leaves the office."
"Spiegel";"mirror

- There is a mirror on a wall."
"aufsetzen, anziehen";"to put on

- Sherlock puts his hat on."
"lächeln";"to smile

- He smiles in the mirror."
"abnehmen, ausziehen";"to take off

- He takes off his hat."
"weg";"away

- Go away!"
"(welt-)bester/beste/bestes";"(world’s) best

- Sherlock Groans is the world’s best detective!"
"Detektiv/Detektivin";"detective

- He’s the world’s best detective."
"Hilf mir!";"Help me!"
"suchen";"to look for

- He looks for his hat in the park."
"alt";"old

- His skateboard isn’t new. It’s very old."
"aufheben";"to pick up

- He picks up the hat."
"hinausrennen (aus)";"to run out (of)

- Sherlock runs out of the office."
"(die StraRe) hinunterlaufen";"to run down (the street)

- Sherlock runs down the street."
"finden";"to find

- The dog finds Sherlock Groans."
"ziehen";"to pull

- The dog pulls Sherlock Groans out of the river."
"fangen; erwischen; festnehmen";"to catch

- He always catches the bad people."
"klug, schlau";"clever

- Sherlock is really clever."
"(zu etwas) hinkommen";"to come to

- He comes to a park."
"leben, wohnen";"to live

- Peter lives in London."
"Pfeife";"pipe

- Sherlock often has a pipe in his mouth."
"rauchen";"to smoke

- Groans smokes a pipe."
"Geige";"violin

- He can play the violin."
"tragen";"to wear

- Trevor wears a black hat."
"viel/e, jede Menge";"a lot of / lots of

- There are lots of beautiful trees in the park."
"(an-)rufen";"to call

- Sherlock Groans calls Doctor Grey."
"Komm(t) jetzt!, Mach(t) schon!";"Come on!"
"lösen";"to solve

- Detectives solve problems."
"warten";"to wait

- But ... wait ... what’s that?"
"beobachten, zuschauen";"to watch

- He watches the people in the streets."
"Straße";"street

- Anna lives in York Street."
"aufstehen";"to get up

- He gets up at 7 o’clock in the morning."
"werden";"to become

- Emma becomes a tiger."
"Aber es stimmt!";"But it’s true!"
"weitermachen; Erzahl weiter!";"Go on."
"Gut gemacht.";"Well done."
