"nach";"after"
"Tag";"day"
"Ende";"end"
"Spaß";"fun"
"Geh weg!";"Go away!"
"helfen";"to help"
"zu/nach Hause; Zuhause";"home"
"Es hat keinen Zweck.";"It's no good."
"Mama, Mutti";"mum"
"nächster/nächste/nächstes";"next"
"immer noch (nicht)";"still (not)"
"ein Tag im Leben von";"a day in the life of"
"schlafen";"to be asleep"
"früh";"early"
"Leben";"life (pl lives)"
"Mittagspause";"lunchtime"
"Sonne";"sun"
"Geht's dir/euch/Ihnen gut?";"Are you OK?"
"Hausaufgaben";"homework (no pl)"
"in (... hinein)";"into"
"Du meine Güte!";"Oh dear!"
"Zimmer, Raum";"room"
"warum";"why"
"schlecht, böse";"bad"
"Komm(t) nicht zu spät., Sei(d) pünktlich.";"Don't be late."
"morgen";"tomorrow"
"Geburtstag";"birthday"
"Freund/Freundin";"friend"
"Sei du selbst.";"Be yourself."
"niemand anders";"no one else"
"Flasche";"bottle"
"zurückholen, zurückbekommen";"to get back"
"wütend, zornig";"mad"
"magisch";"magic"
"stehlen; ausrauben";"to rob"
"(zer-)brechen";"to break"
"schlafen gehen";"to go to sleep"
"weil";"because"
"Ich bin's.";"It's me."
"Versuch es!";"Try it!"
"Lass(t) los!";"Let go!"
"Was ist (hier) los?";"What's happening?"
