klettern;to climb
hüpfen;to jump
verlassen, weggehen;to leave
Spiegel;mirror
aufsetzen, anziehen;to put on
lächeln;to smile
abnehmen, ausziehen;to take off
weg;away
(welt-)bester/beste/bestes;(world's) best
Detektiv/Detektivin;detective
Hilf mir!;Help me!
suchen;to look for
alt;old
aufheben;to pick up
hinausrennen (aus);to run out (of)
(die StraRe) hinunterlaufen;to run down (the street)
finden;to find
ziehen;to pull
fangen, erwischen, festnehmen;to catch
klug, schlau;clever
(zu etwas) hinkommen;to come to
leben, wohnen;to live
Pfeife;pipe
rauchen;to smoke
Geige;violin
tragen;to wear
viel/e, jede Menge;a lot of / lots of
(an-)rufen;to call
Komm(t) jetzt!, Mach(t) schon!;Come on!
lösen;to solve
warten;to wait
beobachten, zuschauen;to watch
Straße;street
aufstehen;to get up
werden;to become
Aber es stimmt!;But it's true!
weitermachen, Erzahl weiter!;Go on.
Gut gemacht.;Well done.
