"ungewöhnlich, außergewöhnlich";"unusual"
"Maus";"mouse (pl mice)"
"(...) am Tag";"(...) a day"
"einmal";"once"
"zweimal";"twice"
"hier: in ganz (Großbritannien)";"across (Britain)"
"gefährlich";"dangerous"
"Bauernhof";"farm"
"Mann";"man (pl men)"
"in der Nähe von";"near"
"Zeitung";"newspaper"
"(...) in der Woche";"(...) a week"
"Korb";"basket"
"Tochter";"daughter"
"fahren";"to drive"
"jede/r";"everybody"
"weit weg";"far away"
"Opa";"grandpa"
"Mutter";"mother"
"Geräusch";"noise"
"bleiben";"to stay"
"Stofftier";"cuddly toys."
"besuchen";"to visit"
"an etw. interessiert sein";"to be interested in"
"Fell";"fur"
"persönlich";"personal"
"Besitzer/Besitzerin";"owner"
"Tante (Koseform)";"aunty"
"liebe/r (Anrede)";"dear"
"Brief";"letter"
"beißen";"to bite"
"Anfang";"beginning"
"anfangen, beginnen";"to begin"
"herzliche Grüße";"best wishes"
"Ende, Schluss";"ending"
"brauchen";"to need"
