wie viel kostet/kosten ...;how much is/are ...
Preis, Rechnungsbetrag;price
diese;these
jene;those
Darf es noch etwas sein?;Anything else?
Kann ich dir/Ihnen behilflich sein?;Can I help you?
Computerspiel;computer game
Kopfhörer;headphones
Schlüsselanhänger;key ring
Zeitschrift, Magazin;magazine
Mobiltelefon, Handy;mobile phone
Roller;scooter
Süßigkeiten;sweets (pl)
Dose;tin
Herzlichen Glückwunsch!;Congratulations!
Regel;rule
Kunde/Kundin;customer
alles;everything
teuer;expensive
einschlafen;to fall asleep
Auf Wiedersehen., Tschüss.;Goodbye.
Ich hätte gerne ... , Ich möchte ...;I’d like ...
Kein Wunder.;No wonder.
plötzlich, auf einmal;suddenly
Stadt;town
weggehen, fortgehen;to walk away
Umkleidekabine;changing room
Kein Problem.;No problem.
da/dort drüben;over there
Schublade;drawer
So ist es besser.;That’s better.
Was kann ich für dich/Sie tun?;What can I do for you?
Pass(t) auf., Sei(d) vorsichtig.;Be careful.
Einen Augenblick bitte., Moment mal.;Just a minute.
